"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"101","408_p4",1,1,"","408_p4.faa","408_p4.fna","913970",1.75438596491228
"102","409_p5",1,1,"","409_p5.faa","409_p5.fna","913970",1.75438596491228
"103","410_p6",1,1,"","410_p6.faa","410_p6.fna","913970",1.75438596491228
"104","411_p7",1,1,"","411_p7.faa","411_p7.fna","913970",1.75438596491228
"105","412_p8",1,1,"","412_p8.faa","412_p8.fna","913970",1.75438596491228
"106","413_p9",1,1,"","413_p9.faa","413_p9.fna","913970",1.75438596491228
"107","415_hypothetical_protein",2,2,"","415_hypothetical_protein.faa","415_hypothetical_protein.fna","1655644_1655645",3.50877192982456
"108","416_hypothetical_protein",1,1,"","416_hypothetical_protein.faa","416_hypothetical_protein.fna","1655644",1.75438596491228
"109","417_hypothetical_protein",1,1,"","417_hypothetical_protein.faa","417_hypothetical_protein.fna","1655644",1.75438596491228
"110","418_DNA_pilot_protein_VP..",2,2,"","418_DNA_pilot_protein_VP...faa","418_DNA_pilot_protein_VP...fna","1655644_1655645",3.50877192982456
"111","425_hypothetical_protein",1,1,"","425_hypothetical_protein.faa","425_hypothetical_protein.fna","10855",1.75438596491228
"112","426_hypothetical_protein",1,1,"","426_hypothetical_protein.faa","426_hypothetical_protein.fna","10855",1.75438596491228
"113","427_hypothetical_protein",1,1,"","427_hypothetical_protein.faa","427_hypothetical_protein.fna","10855",1.75438596491228
"114","428_hypothetical_protein",1,1,"","428_hypothetical_protein.faa","428_hypothetical_protein.fna","10855",1.75438596491228
"115","429_hypothetical_protein",1,1,"","429_hypothetical_protein.faa","429_hypothetical_protein.fna","10855",1.75438596491228
"116","431_minor_capsid_protein",1,1,"","431_minor_capsid_protein.faa","431_minor_capsid_protein.fna","10855",1.75438596491228
"117","432_hypothetical_protein",1,1,"","432_hypothetical_protein.faa","432_hypothetical_protein.fna","10855",1.75438596491228
